name,location,price,review_score,review_count,amenities
CONÇU FRAIS à côté de LA MER - quartier agréable - wifi,Essaouira,"MAD 1,136",Scored 8.0,2 reviews,
إقامة الهناء للكراء الصيفي في مدينة الرياح,Essaouira,MAD 417,Scored 2.1,8 reviews,
Room of pleasure and rest,Essaouira,MAD 208,Scored 1.0,1 review,
Apartement en 1er etage et autre 2eme avec terasse location longue duré,Essaouira,MAD 530,Scored 1.0,1 review,
appartement lghazoua Essaouira,Essaouira,MAD 483,Scored 1.0,1 review,
Villa et bungalows chez Kousmat,Essaouira,"MAD 4,260",Scored 8.0,1 review,
Appartemnt Essaouira welcome all,Essaouira,"MAD 1,704",Scored 1.0,1 review,
apparemment Anas,Essaouira,"MAD 8,852",Scored 5.5,4 reviews,
Hostel La Smala,"Kasbah, Essaouira",MAD 337,Scored 8.6,"1,391 reviews",
Atlantic Hostel,"Old Medina, Essaouira",MAD 208,Scored 8.5,"1,163 reviews",
Giraffe Hostel-Sea view Rooftop,"Ahl Agadir, Essaouira",MAD 270,Scored 8.2,178 reviews,
berber hostel,"Old Medina, Essaouira",MAD 273,Scored 8.4,451 reviews,
